Country,Medals
United States,121
Great Britain,67
China,70
Russia,56
Germany,42
Japan,41
France,42
South Korea,21
Italy,28
Australia,29
Netherlands,19
Hungary,15
Brazil,19
Spain,17
Kenya,13
Jamaica,11
Croatia,10
Cuba,11
New Zealand,18
Canada,22
Uzbekistan,13
Kazakhstan,17
Colombia,8
Switzerland,7
Iran,8
Greece,6
Argentina,4
Denmark,15
Sweden,11
South Africa,10
Ukraine,11
Serbia,8
Poland,11
Thailand,6
Belgium,6
Slovakia,4
Georgia,7
Azerbaijan,18
Belarus,9
Turkey,8
Armenia,4
Ethiopia,8
Slovenia,4
Indonesia,3
Romania,5
Bahrain,2
Vietnam,2
Jordan,1
Singapore,1
Tajikistan,1
Kosovo,1
Puerto Rico,1
Fiji,1
Malaysia,5
Mexico,5
Algeria,2
Ireland,2
Lithuania,4
Bulgaria,3
Venezuela,3
India,2
Mongolia,2
Philippines,1
Qatar,1
Burundi,1
Niger,1
Grenada,1
Norway,4
Egypt,3
Tunisia,3
Israel,2
United Arab Emirates,1
Nigeria,1
Austria,1
Estonia,1
Finland,1
Portugal,1
Dominican Republic,1
Morocco,1
Trinidad and Tobago,1
