Country,Medals
United States,121
Great Britain,67
China,70
Russia,56
Japan,41
South Korea,21
Italy,28
Australia,29
Netherlands,19
Hungary,15
Brazil,19
Kenya,13
Jamaica,11
Croatia,10
Cuba,11
New Zealand,18
Canada,22
Uzbekistan,13
Kazakhstan,17
Colombia,8
Switzerland,7
Iran,8
Argentina,4
Denmark,15
Sweden,11
South Africa,10
Ukraine,11
DPR Korea,7
Thailand,6
Belgium,6
Slovakia,4
Georgia,7
Azerbaijan,18
Belarus,9
Turkey,8
Armenia,4
Czech Republic,10
Ethiopia,8
Slovenia,4
Malaysia,5
Mexico,5
Algeria,2
Ireland,2
Lithuania,4
Bulgaria,3
Venezuela,3
India,2
Mongolia,2
Philippines,1
Norway,4
Egypt,3
Tunisia,3
